Date_x,Site_ID_x,Cycle_sequence,Combined_DateTime,Planned_ cyclelength,Actual_ cyclelength,Required_ cyclelength,DS,Strategic_ approach_control_cy_time,Subsystem_No,Stretched_ phase,A,B,C,D,E,F,G,Rounded_Time,Date_y,Site_ID_y,Error,2368-1,2368-10,2368-11,2368-12,2368-13,2368-14,2368-15,2368-16,2368-17,2368-18,2368-19,2368-2,2368-20,2368-21,2368-22,2368-23,2368-24,2368-3,2368-4,2368-5,2368-6,2368-7,2368-8,2368-9
2023-08-03,2368,1,2023-08-03 00:00:00,60,60,60,16,20,6,A,178.0,1.0,1.0,17.0,19.0,14.0,,2023-06-02 00:00:00,8/03/2023,2368,False,4,7,23,27,1,12,2,2,7,5,6,1,1,0,85,2,1,11,16,0,20,120,23,9
2023-08-03,2368,6,2023-08-03 00:05:00,60,60,60,27,20,6,A,176.0,1.0,1.0,19.0,19.0,14.0,,2023-06-02 00:05:00,8/03/2023,2368,False,13,4,17,16,1,7,1,6,11,4,3,2,0,0,32,4,0,8,13,0,6,30,17,13
2023-08-03,2368,11,2023-08-03 00:10:00,60,60,60,29,20,6,A,176.0,1.0,1.0,19.0,19.0,14.0,,2023-06-02 00:10:00,8/03/2023,2368,False,19,8,12,21,3,5,3,8,6,13,2,2,0,0,35,1,0,12,8,0,4,28,20,8
2023-08-03,2368,16,2023-08-03 00:15:00,60,60,60,28,21,6,A,176.0,1.0,1.0,19.0,19.0,14.0,,2023-06-02 00:15:00,8/03/2023,2368,False,4,3,22,7,0,7,5,7,6,4,7,3,0,0,33,5,1,9,15,0,3,24,23,10
2023-08-03,2368,21,2023-08-03 00:20:00,60,60,60,28,24,6,A,178.0,1.0,1.0,17.0,19.0,14.0,,2023-06-02 00:20:00,8/03/2023,2368,False,6,4,10,12,1,5,3,14,15,7,4,2,0,0,29,10,1,8,11,0,3,25,18,6
2023-08-03,2368,26,2023-08-03 00:25:00,60,60,60,16,20,6,A,178.0,1.0,1.0,17.0,19.0,14.0,,2023-06-02 00:25:00,8/03/2023,2368,False,4,8,11,5,1,6,2,4,4,6,3,1,0,1,32,2,0,9,8,1,4,29,14,13
2023-08-03,2368,31,2023-08-03 00:30:00,60,60,60,45,21,6,A,178.0,1.0,1.0,17.0,19.0,14.0,,2023-06-02 00:30:00,8/03/2023,2368,False,3,4,8,6,0,4,1,3,7,4,3,0,0,1,35,4,0,11,16,1,7,29,30,13
2023-08-03,2368,36,2023-08-03 00:35:00,60,60,60,12,20,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-02 00:35:00,8/03/2023,2368,False,2,6,7,9,0,9,1,7,9,4,1,0,0,0,53,4,0,8,5,0,2,48,20,19
2023-08-03,2368,41,2023-08-03 00:40:00,60,60,60,20,24,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-02 00:40:00,8/03/2023,2368,False,2,8,13,10,1,8,4,6,8,3,2,0,0,0,37,4,0,7,14,0,7,27,17,18
2023-08-03,2368,46,2023-08-03 00:45:00,60,60,60,28,24,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-02 00:45:00,8/03/2023,2368,False,2,6,13,8,0,2,3,7,4,5,7,0,0,0,48,1,0,4,15,0,6,55,18,18
2023-08-03,2368,51,2023-08-03 00:50:00,60,60,60,22,24,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-02 00:50:00,8/03/2023,2368,False,7,6,5,8,4,3,4,7,3,0,5,1,2,0,54,2,1,10,17,0,0,65,24,5
2023-08-03,2368,56,2023-08-03 00:55:00,60,60,60,28,21,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-02 00:55:00,8/03/2023,2368,False,8,4,11,10,3,12,0,4,3,5,2,0,1,0,48,1,3,7,7,0,3,87,20,9
2023-08-03,2368,61,2023-08-03 01:00:00,60,60,60,15,20,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-02 01:00:00,8/03/2023,2368,False,5,2,12,7,8,4,0,1,3,4,3,0,3,0,70,1,1,7,8,0,4,101,17,10
