Date,Site_ID,Cycle_sequence,Combined_DateTime,Planned_ cyclelength,Actual_ cyclelength,Required_ cyclelength,DS,Strategic_ approach_control_cy_time,Subsystem_No,Stretched_ phase,A,B,C,D,E,F,G,Rounded_Time
2023-08-03,2368,1,2023-08-03 00:00:00,60,60,60,16,20,6,A,178.0,1.0,1.0,17.0,19.0,14.0,,2023-06-16 00:00:00
2023-08-03,2368,6,2023-08-03 00:05:00,60,60,60,27,20,6,A,176.0,1.0,1.0,19.0,19.0,14.0,,2023-06-16 00:05:00
2023-08-03,2368,11,2023-08-03 00:10:00,60,60,60,29,20,6,A,176.0,1.0,1.0,19.0,19.0,14.0,,2023-06-16 00:10:00
2023-08-03,2368,16,2023-08-03 00:15:00,60,60,60,28,21,6,A,176.0,1.0,1.0,19.0,19.0,14.0,,2023-06-16 00:15:00
2023-08-03,2368,21,2023-08-03 00:20:00,60,60,60,28,24,6,A,178.0,1.0,1.0,17.0,19.0,14.0,,2023-06-16 00:20:00
2023-08-03,2368,26,2023-08-03 00:25:00,60,60,60,16,20,6,A,178.0,1.0,1.0,17.0,19.0,14.0,,2023-06-16 00:25:00
2023-08-03,2368,31,2023-08-03 00:30:00,60,60,60,45,21,6,A,178.0,1.0,1.0,17.0,19.0,14.0,,2023-06-16 00:30:00
2023-08-03,2368,36,2023-08-03 00:35:00,60,60,60,12,20,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-16 00:35:00
2023-08-03,2368,41,2023-08-03 00:40:00,60,60,60,20,24,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-16 00:40:00
2023-08-03,2368,46,2023-08-03 00:45:00,60,60,60,28,24,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-16 00:45:00
2023-08-03,2368,51,2023-08-03 00:50:00,60,60,60,22,24,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-16 00:50:00
2023-08-03,2368,56,2023-08-03 00:55:00,60,60,60,28,21,6,A,180.0,1.0,1.0,15.0,19.0,14.0,,2023-06-16 00:55:00
2023-08-03,2368,61,2023-08-03 01:00:00,60,60,60,15,20,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:00:00
2023-08-03,2368,66,2023-08-03 01:05:00,60,60,60,12,20,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:05:00
2023-08-03,2368,71,2023-08-03 01:10:00,60,60,60,14,25,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:10:00
2023-08-03,2368,76,2023-08-03 01:15:00,60,60,60,9,25,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:15:00
2023-08-03,2368,81,2023-08-03 01:20:00,60,60,60,27,25,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:20:00
2023-08-03,2368,86,2023-08-03 01:25:00,60,60,60,21,20,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:25:00
2023-08-03,2368,91,2023-08-03 01:30:00,60,60,60,12,22,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:30:00
2023-08-03,2368,96,2023-08-03 01:35:00,60,60,60,19,24,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:35:00
2023-08-03,2368,101,2023-08-03 01:40:00,60,60,60,26,24,6,A,182.0,1.0,1.0,13.0,19.0,14.0,,2023-06-16 01:40:00
2023-08-03,2368,106,2023-08-03 01:45:00,60,60,60,18,24,6,A,184.0,1.0,1.0,13.0,17.0,14.0,,2023-06-16 01:45:00
