Date,Site_ID,Error,Combined_DateTime,2368-1,2368-10,2368-11,2368-12,2368-13,2368-14,2368-15,2368-16,2368-17,2368-18,2368-19,2368-2,2368-20,2368-21,2368-22,2368-23,2368-24,2368-3,2368-4,2368-5,2368-6,2368-7,2368-8,2368-9
8/03/2023,2368,False,2023-08-03 00:00:00,4,7,23,27,1,12,2,2,7,5,6,1,1,0,85,2,1,11,16,0,20,120,23,9
8/03/2023,2368,False,2023-08-03 00:05:00,13,4,17,16,1,7,1,6,11,4,3,2,0,0,32,4,0,8,13,0,6,30,17,13
8/03/2023,2368,False,2023-08-03 00:10:00,19,8,12,21,3,5,3,8,6,13,2,2,0,0,35,1,0,12,8,0,4,28,20,8
8/03/2023,2368,False,2023-08-03 00:15:00,4,3,22,7,0,7,5,7,6,4,7,3,0,0,33,5,1,9,15,0,3,24,23,10
8/03/2023,2368,False,2023-08-03 00:20:00,6,4,10,12,1,5,3,14,15,7,4,2,0,0,29,10,1,8,11,0,3,25,18,6
8/03/2023,2368,False,2023-08-03 00:25:00,4,8,11,5,1,6,2,4,4,6,3,1,0,1,32,2,0,9,8,1,4,29,14,13
8/03/2023,2368,False,2023-08-03 00:30:00,3,4,8,6,0,4,1,3,7,4,3,0,0,1,35,4,0,11,16,1,7,29,30,13
8/03/2023,2368,False,2023-08-03 00:35:00,2,6,7,9,0,9,1,7,9,4,1,0,0,0,53,4,0,8,5,0,2,48,20,19
8/03/2023,2368,False,2023-08-03 00:40:00,2,8,13,10,1,8,4,6,8,3,2,0,0,0,37,4,0,7,14,0,7,27,17,18
8/03/2023,2368,False,2023-08-03 00:45:00,2,6,13,8,0,2,3,7,4,5,7,0,0,0,48,1,0,4,15,0,6,55,18,18
8/03/2023,2368,False,2023-08-03 00:50:00,7,6,5,8,4,3,4,7,3,0,5,1,2,0,54,2,1,10,17,0,0,65,24,5
8/03/2023,2368,False,2023-08-03 00:55:00,8,4,11,10,3,12,0,4,3,5,2,0,1,0,48,1,3,7,7,0,3,87,20,9
8/03/2023,2368,False,2023-08-03 01:00:00,5,2,12,7,8,4,0,1,3,4,3,0,3,0,70,1,1,7,8,0,4,101,17,10
8/03/2023,2368,False,2023-08-03 01:05:00,9,8,6,5,9,2,1,3,3,1,8,1,6,0,63,1,3,4,12,0,5,73,12,14
8/03/2023,2368,False,2023-08-03 01:10:00,12,3,10,7,1,1,1,4,12,6,7,0,1,0,56,4,3,4,12,0,12,63,22,6
8/03/2023,2368,False,2023-08-03 01:15:00,11,1,11,10,2,6,2,2,8,5,8,0,2,0,54,2,1,7,8,0,13,86,14,7
8/03/2023,2368,False,2023-08-03 01:20:00,1,0,2,9,2,4,4,7,10,6,1,1,2,0,81,9,0,3,6,0,12,101,24,13
8/03/2023,2368,False,2023-08-03 01:25:00,3,6,12,9,9,7,1,4,5,5,11,0,5,0,55,2,1,10,11,0,20,62,25,7
8/03/2023,2368,False,2023-08-03 01:30:00,8,3,6,9,5,15,0,5,10,4,7,0,3,0,73,5,2,8,9,0,4,89,21,6
8/03/2023,2368,False,2023-08-03 01:35:00,13,2,8,14,3,13,3,4,6,9,5,0,1,0,79,2,0,8,3,0,4,106,27,12
8/03/2023,2368,False,2023-08-03 01:40:00,4,2,9,24,2,23,2,3,7,15,1,1,2,0,45,2,0,5,3,0,4,46,22,11
8/03/2023,2368,False,2023-08-03 01:45:00,5,3,5,5,2,40,0,3,3,5,2,0,2,0,39,1,0,2,8,0,1,26,23,13
8/03/2023,2368,False,2023-08-03 01:50:00,5,3,9,12,3,18,1,3,6,11,2,0,2,0,50,2,0,3,10,0,2,44,21,9
8/03/2023,2368,False,2023-08-03 01:55:00,5,3,13,20,1,38,0,2,8,7,4,2,0,0,35,4,0,5,9,0,3,27,25,6
8/03/2023,2368,False,2023-08-03 02:00:00,5,5,10,16,7,29,0,4,4,12,2,2,5,0,28,2,1,5,3,0,3,30,23,10
8/03/2023,2368,False,2023-08-03 02:05:00,1,1,11,21,1,17,1,4,6,13,7,0,0,0,48,4,0,5,15,0,1,52,26,16
8/03/2023,2368,False,2023-08-03 02:10:00,1,2,18,16,1,21,0,4,2,14,4,0,1,0,21,4,0,3,9,0,4,15,11,13
8/03/2023,2368,False,2023-08-03 02:15:00,2,5,13,12,1,28,0,3,5,11,6,0,1,0,44,1,0,7,16,0,6,33,21,19
8/03/2023,2368,False,2023-08-03 02:20:00,1,8,11,19,2,14,3,0,6,10,3,1,2,1,55,2,1,7,7,1,1,44,39,16
8/03/2023,2368,False,2023-08-03 02:25:00,2,3,10,21,0,23,2,3,5,11,1,2,0,0,30,1,1,5,11,0,0,32,18,19
8/03/2023,2368,False,2023-08-03 02:30:00,1,3,12,24,0,33,0,2,4,22,0,1,0,0,48,1,0,4,8,0,2,27,29,26
8/03/2023,2368,False,2023-08-03 02:35:00,1,6,16,22,0,14,1,7,4,9,6,2,0,0,52,2,1,6,18,0,2,61,17,15
8/03/2023,2368,False,2023-08-03 02:40:00,1,2,17,7,1,25,0,3,10,12,2,1,0,0,40,3,0,8,6,0,7,26,21,13
8/03/2023,2368,False,2023-08-03 02:45:00,1,5,12,8,0,20,0,10,4,7,3,1,0,0,58,7,1,5,12,0,3,54,28,16
8/03/2023,2368,False,2023-08-03 02:50:00,2,2,15,6,1,4,1,4,5,9,6,3,1,0,62,5,0,5,17,0,7,79,16,12
8/03/2023,2368,False,2023-08-03 02:55:00,2,2,9,6,0,9,0,7,5,3,2,1,0,0,69,4,1,5,7,0,14,96,19,8
8/03/2023,2368,False,2023-08-03 03:00:00,4,0,3,2,2,7,0,4,3,2,3,0,2,0,73,3,1,5,9,0,19,91,29,15
8/03/2023,2368,False,2023-08-03 03:05:00,1,3,13,7,2,14,2,7,5,9,8,0,0,0,52,6,0,6,11,0,11,84,25,9
8/03/2023,2368,False,2023-08-03 03:10:00,3,1,7,6,0,12,3,2,4,5,4,0,0,0,57,3,1,4,11,0,16,98,22,9
8/03/2023,2368,False,2023-08-03 03:15:00,3,3,6,7,2,2,2,4,5,4,7,2,1,0,65,4,0,6,12,0,21,69,31,9
8/03/2023,2368,False,2023-08-03 03:20:00,3,0,7,15,1,8,2,1,6,13,4,1,0,1,73,4,0,7,4,1,2,96,18,11
8/03/2023,2368,False,2023-08-03 03:25:00,2,1,11,5,0,7,0,0,5,7,3,0,0,0,74,2,1,5,9,0,2,94,36,20
8/03/2023,2368,False,2023-08-03 03:30:00,4,3,5,12,1,5,0,3,10,4,6,1,1,0,72,6,0,3,18,0,6,75,20,10
8/03/2023,2368,False,2023-08-03 03:35:00,1,2,9,3,0,4,1,1,8,5,0,1,0,0,69,1,0,4,9,0,1,93,18,16
