Date,Site ID,Error,Combined_DateTime,3055-1,3055-10,3055-11,3055-12,3055-13,3055-14,3055-15,3055-16,3055-17,3055-18,3055-19,3055-2,3055-20,3055-3,3055-4,3055-5,3055-6,3055-7,3055-8,3055-9
8/03/2023,3055,False,2023-08-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0
8/03/2023,3055,False,2023-08-03 00:05:00,2,1,0,1,0,0,0,0,0,0,0,5,1,1,0,1,0,3,0,0
8/03/2023,3055,False,2023-08-03 00:10:00,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0
8/03/2023,3055,False,2023-08-03 00:15:00,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,0,0
8/03/2023,3055,False,2023-08-03 00:20:00,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
8/03/2023,3055,False,2023-08-03 00:25:00,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,4,1,0
8/03/2023,3055,False,2023-08-03 00:30:00,0,1,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0,0
8/03/2023,3055,False,2023-08-03 00:35:00,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,6,0,0
8/03/2023,3055,False,2023-08-03 00:40:00,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0
8/03/2023,3055,False,2023-08-03 00:45:00,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
8/03/2023,3055,False,2023-08-03 00:50:00,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0
8/03/2023,3055,False,2023-08-03 00:55:00,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8/03/2023,3055,False,2023-08-03 01:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
8/03/2023,3055,False,2023-08-03 01:05:00,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
8/03/2023,3055,False,2023-08-03 01:10:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8/03/2023,3055,False,2023-08-03 01:15:00,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
8/03/2023,3055,False,2023-08-03 01:20:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8/03/2023,3055,False,2023-08-03 01:25:00,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0
8/03/2023,3055,False,2023-08-03 01:30:00,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0
8/03/2023,3055,False,2023-08-03 01:35:00,0,1,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,1
8/03/2023,3055,False,2023-08-03 01:40:00,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,4,1,0
8/03/2023,3055,False,2023-08-03 01:45:00,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,1,1,1,0,0
8/03/2023,3055,False,2023-08-03 01:50:00,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,2,0,0
8/03/2023,3055,False,2023-08-03 01:55:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
8/03/2023,3055,False,2023-08-03 02:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
8/03/2023,3055,False,2023-08-03 02:05:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
8/03/2023,3055,False,2023-08-03 02:10:00,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,2,0,0
8/03/2023,3055,False,2023-08-03 02:15:00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0
8/03/2023,3055,False,2023-08-03 02:20:00,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0
8/03/2023,3055,False,2023-08-03 02:25:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0
8/03/2023,3055,False,2023-08-03 02:30:00,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0
8/03/2023,3055,False,2023-08-03 02:35:00,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
8/03/2023,3055,False,2023-08-03 02:40:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
8/03/2023,3055,False,2023-08-03 02:45:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
8/03/2023,3055,False,2023-08-03 02:50:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
8/03/2023,3055,False,2023-08-03 02:55:00,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
8/03/2023,3055,False,2023-08-03 03:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0
8/03/2023,3055,False,2023-08-03 03:05:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8/03/2023,3055,False,2023-08-03 03:10:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
8/03/2023,3055,False,2023-08-03 03:15:00,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0
8/03/2023,3055,False,2023-08-03 03:20:00,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,2,0,0
8/03/2023,3055,False,2023-08-03 03:25:00,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,1
8/03/2023,3055,False,2023-08-03 03:30:00,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
8/03/2023,3055,False,2023-08-03 03:35:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8/03/2023,3055,False,2023-08-03 03:40:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8/03/2023,3055,False,2023-08-03 03:45:00,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
8/03/2023,3055,False,2023-08-03 03:50:00,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,0,0
8/03/2023,3055,False,2023-08-03 03:55:00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
8/03/2023,3055,False,2023-08-03 04:00:00,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0
8/03/2023,3055,False,2023-08-03 04:05:00,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0
8/03/2023,3055,False,2023-08-03 04:10:00,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,3,0,0
8/03/2023,3055,False,2023-08-03 04:15:00,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,5,0,0
8/03/2023,3055,False,2023-08-03 04:20:00,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0
8/03/2023,3055,False,2023-08-03 04:25:00,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,5,0,0
8/03/2023,3055,False,2023-08-03 04:30:00,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0
8/03/2023,3055,False,2023-08-03 04:35:00,1,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,8,0,0
8/03/2023,3055,False,2023-08-03 04:40:00,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,1,6,0,0
8/03/2023,3055,False,2023-08-03 04:45:00,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,2,4,0,0
8/03/2023,3055,False,2023-08-03 04:50:00,1,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0,1,6,1,0
8/03/2023,3055,False,2023-08-03 04:55:00,3,1,0,1,0,0,0,0,0,0,0,9,0,1,1,0,1,6,0,0
8/03/2023,3055,False,2023-08-03 05:00:00,2,0,0,0,0,0,0,0,0,0,0,7,1,0,2,1,0,7,0,0
8/03/2023,3055,False,2023-08-03 05:05:00,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,12,0,0
8/03/2023,3055,False,2023-08-03 05:10:00,2,2,1,1,0,0,0,0,0,0,2,11,0,0,0,0,0,11,1,1
8/03/2023,3055,False,2023-08-03 05:15:00,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,9,0,0
8/03/2023,3055,False,2023-08-03 05:20:00,4,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,1
8/03/2023,3055,False,2023-08-03 05:25:00,4,1,0,0,0,0,0,0,0,0,1,16,0,0,1,0,0,15,0,0
8/03/2023,3055,False,2023-08-03 05:30:00,1,0,0,0,0,0,0,0,0,0,0,18,0,1,2,0,1,22,0,0
8/03/2023,3055,False,2023-08-03 05:35:00,1,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,5,18,0,0
8/03/2023,3055,False,2023-08-03 05:40:00,2,0,0,0,0,0,0,0,0,1,0,18,0,1,5,1,4,20,1,0
8/03/2023,3055,False,2023-08-03 05:45:00,4,0,0,0,0,0,0,0,0,0,0,25,0,1,2,2,4,25,1,0
8/03/2023,3055,False,2023-08-03 05:50:00,1,1,3,1,0,0,0,0,0,1,0,30,0,0,5,1,7,31,0,1
8/03/2023,3055,False,2023-08-03 05:55:00,1,1,0,0,0,0,0,0,0,0,0,25,0,1,3,0,4,27,0,0
8/03/2023,3055,False,2023-08-03 06:00:00,3,0,0,1,0,0,0,0,0,0,0,27,0,0,2,0,2,36,0,0
8/03/2023,3055,False,2023-08-03 06:05:00,4,0,0,1,0,0,0,0,0,0,0,29,1,1,1,1,5,34,0,1
8/03/2023,3055,False,2023-08-03 06:10:00,2,0,0,0,0,0,0,0,0,0,0,30,1,1,1,1,2,51,0,0
8/03/2023,3055,False,2023-08-03 06:15:00,6,0,0,0,0,0,0,0,0,1,0,28,1,0,3,2,3,29,1,0
8/03/2023,3055,False,2023-08-03 06:20:00,7,0,0,0,0,0,0,0,1,1,0,34,3,2,3,3,5,38,1,0
8/03/2023,3055,False,2023-08-03 06:25:00,11,1,0,1,0,0,0,0,0,0,1,37,1,0,2,2,8,36,3,0
8/03/2023,3055,False,2023-08-03 06:30:00,9,0,0,1,0,0,0,0,1,0,0,36,0,0,4,0,7,30,2,0
8/03/2023,3055,False,2023-08-03 06:35:00,4,0,0,0,0,0,0,0,0,0,0,41,1,3,6,2,7,28,1,0
8/03/2023,3055,False,2023-08-03 06:40:00,7,0,0,0,0,0,0,0,0,0,0,34,1,1,1,1,2,43,1,0
8/03/2023,3055,False,2023-08-03 06:45:00,2,0,0,0,0,0,0,0,0,0,0,37,1,1,5,4,7,25,1,0
8/03/2023,3055,False,2023-08-03 06:50:00,14,2,0,1,0,0,0,0,0,0,2,43,0,1,2,2,10,27,3,0
8/03/2023,3055,False,2023-08-03 06:55:00,11,0,2,0,0,0,0,0,0,0,0,53,0,2,0,4,5,39,3,3
8/03/2023,3055,False,2023-08-03 07:00:00,9,1,0,1,0,0,0,0,0,0,1,43,1,3,2,5,8,30,2,0
8/03/2023,3055,False,2023-08-03 07:05:00,8,0,0,0,0,0,0,0,1,0,0,41,2,4,4,2,10,38,0,0
8/03/2023,3055,False,2023-08-03 07:10:00,14,1,2,1,0,0,0,0,0,0,1,51,3,2,5,3,9,24,7,2
8/03/2023,3055,False,2023-08-03 07:15:00,12,1,1,2,0,0,0,0,2,0,0,53,2,2,2,4,13,28,5,1
8/03/2023,3055,False,2023-08-03 07:20:00,24,3,0,4,0,0,0,0,2,0,0,65,0,2,4,1,6,35,1,1
8/03/2023,3055,False,2023-08-03 07:25:00,14,5,2,4,0,0,0,0,4,2,2,59,1,5,7,2,11,33,3,1
8/03/2023,3055,False,2023-08-03 07:30:00,9,1,1,1,0,0,0,0,0,0,0,48,3,2,4,3,9,29,3,1
8/03/2023,3055,False,2023-08-03 07:35:00,6,2,2,3,0,0,0,0,1,1,1,36,0,1,4,1,9,25,5,1
8/03/2023,3055,False,2023-08-03 07:40:00,8,0,0,0,0,0,0,0,1,2,0,37,0,17,4,2,13,33,2,0
8/03/2023,3055,False,2023-08-03 07:45:00,13,2,0,3,0,0,0,0,5,0,0,31,1,2,4,5,14,30,3,0
8/03/2023,3055,False,2023-08-03 07:50:00,15,1,1,1,0,0,0,0,1,2,0,46,2,2,5,4,15,40,1,1
8/03/2023,3055,False,2023-08-03 07:55:00,11,1,0,2,0,0,0,0,1,0,0,56,1,5,4,1,5,38,3,0
8/03/2023,3055,False,2023-08-03 08:00:00,7,0,0,0,0,0,0,0,0,0,0,36,2,4,6,6,10,43,3,0
8/03/2023,3055,False,2023-08-03 08:05:00,11,1,1,1,0,0,0,0,0,0,0,44,1,2,5,2,6,51,1,1
8/03/2023,3055,False,2023-08-03 08:10:00,18,0,0,0,0,0,0,0,1,0,0,43,2,3,5,3,15,55,3,0
8/03/2023,3055,False,2023-08-03 08:15:00,14,0,0,1,0,0,0,0,0,2,0,37,1,5,3,6,10,55,3,1
8/03/2023,3055,False,2023-08-03 08:20:00,13,3,2,4,0,0,0,0,0,2,0,39,0,6,7,2,15,44,4,1
8/03/2023,3055,False,2023-08-03 08:25:00,9,1,1,1,0,0,0,0,0,1,0,40,0,4,6,4,16,46,4,1
8/03/2023,3055,False,2023-08-03 08:30:00,13,3,2,2,0,0,0,0,0,2,1,61,1,2,2,6,16,58,2,2
8/03/2023,3055,False,2023-08-03 08:35:00,9,2,1,2,0,0,0,0,0,1,1,36,1,3,5,3,12,47,4,1
8/03/2023,3055,False,2023-08-03 08:40:00,13,3,2,2,0,0,0,0,1,0,1,45,2,4,3,3,12,57,6,2
8/03/2023,3055,False,2023-08-03 08:45:00,15,3,1,2,0,0,0,0,3,0,1,49,4,2,7,5,13,46,4,1
8/03/2023,3055,False,2023-08-03 08:50:00,14,4,1,3,0,0,0,0,1,2,1,44,1,4,5,3,17,55,3,1
8/03/2023,3055,False,2023-08-03 08:55:00,14,0,0,0,0,0,0,0,0,1,0,62,3,3,7,3,9,43,4,0
8/03/2023,3055,False,2023-08-03 09:00:00,12,4,2,4,0,0,0,0,0,0,0,36,0,4,7,1,6,42,4,2
8/03/2023,3055,False,2023-08-03 09:05:00,9,0,1,0,0,0,0,0,1,1,0,39,1,5,7,3,12,35,3,1
8/03/2023,3055,False,2023-08-03 09:10:00,14,5,3,5,0,0,0,0,0,1,1,39,2,3,6,5,14,48,2,3
8/03/2023,3055,False,2023-08-03 09:15:00,11,0,0,0,0,0,0,0,3,2,0,39,3,3,6,5,10,59,0,0
8/03/2023,3055,False,2023-08-03 09:20:00,9,2,0,2,0,0,0,0,0,1,0,36,1,6,3,4,10,34,1,1
