Date,Site ID,Cycle sequence,Combined_DateTime,Planned cycle length,Actual cycle length,Required cycle length,DS,Strategic approach controlling cycle time,Subsystem number,Stretched phase,A,B,C,D,E,F,G,Rounded_Time
2023-10-03,2392,1,2023-10-03 00:00:00,60,60,60,13,386,72,A,178.0,1.0,1.0,18.0,20.0,12.0,,2023-07-04 00:00:00
2023-10-03,2392,6,2023-10-03 00:05:00,60,60,60,0,0,72,A,180.0,1.0,1.0,18.0,18.0,12.0,,2023-07-04 00:05:00
2023-10-03,2392,11,2023-10-03 00:10:00,60,60,60,0,0,72,A,176.0,1.0,1.0,20.0,20.0,12.0,,2023-07-04 00:10:00
2023-10-03,2392,16,2023-10-03 00:15:00,60,60,60,6,386,72,A,188.0,1.0,1.0,14.0,14.0,12.0,,2023-07-04 00:15:00
2023-10-03,2392,21,2023-10-03 00:20:00,60,60,60,0,0,72,A,176.0,1.0,1.0,20.0,20.0,12.0,,2023-07-04 00:20:00
2023-10-03,2392,26,2023-10-03 00:25:00,60,60,60,6,386,72,A,188.0,1.0,1.0,14.0,14.0,12.0,,2023-07-04 00:25:00
2023-10-03,2392,31,2023-10-03 00:30:00,60,60,60,9,386,72,A,184.0,1.0,1.0,16.0,16.0,12.0,,2023-07-04 00:30:00
2023-10-03,2392,36,2023-10-03 00:35:00,60,60,60,13,386,72,A,178.0,1.0,1.0,18.0,20.0,12.0,,2023-07-04 00:35:00
2023-10-03,2392,41,2023-10-03 00:40:00,60,60,60,8,386,72,A,186.0,1.0,1.0,14.0,16.0,12.0,,2023-07-04 00:40:00
2023-10-03,2392,46,2023-10-03 00:45:00,60,60,60,0,0,72,A,176.0,1.0,1.0,20.0,20.0,12.0,,2023-07-04 00:45:00
2023-10-03,2392,51,2023-10-03 00:50:00,60,60,60,0,0,72,A,186.0,1.0,1.0,14.0,16.0,12.0,,2023-07-04 00:50:00
